fold,horizon,segment,n,n_interval,inside,coverage,avg_width,status,ml_mae,persistence_mae
10,30,운영중·평일,0,0,0,,,unavailable,,
10,30,운영중·주말,2196,0,0,,,unavailable,3.055267943040699,3.582103177534049
10,30,운영외·평일,0,0,0,,,unavailable,,
10,30,운영외·주말,7578,0,0,,,unavailable,3.056922166144036,3.354994053766687
10,60,전체,9365,0,0,,,unavailable,4.632541193641325,5.645824941856925
10,60,운영중,2154,0,0,,,unavailable,4.7709529929180565,5.87120986375887
10,60,운영외,7211,0,0,,,unavailable,4.591196163043337,5.578500143385591
10,60,평일,0,0,0,,,unavailable,,
10,60,주말,9365,0,0,,,unavailable,4.632541193641325,5.645824941856925
10,60,운영중·평일,0,0,0,,,unavailable,,
10,60,운영중·주말,2154,0,0,,,unavailable,4.7709529929180565,5.87120986375887
10,60,운영외·평일,0,0,0,,,unavailable,,
10,60,운영외·주말,7211,0,0,,,unavailable,4.591196163043337,5.578500143385591
10,120,전체,8791,0,0,,,unavailable,6.581577573484852,9.254738411060098
10,120,운영중,2110,0,0,,,unavailable,6.8639386596143375,9.753185132568031
10,120,운영외,6681,0,0,,,unavailable,6.492402017170945,9.097318476562004
10,120,평일,0,0,0,,,unavailable,,
10,120,주말,8791,0,0,,,unavailable,6.581577573484852,9.254738411060098
10,120,운영중·평일,0,0,0,,,unavailable,,
10,120,운영중·주말,2110,0,0,,,unavailable,6.8639386596143375,9.753185132568031
10,120,운영외·평일,0,0,0,,,unavailable,,
10,120,운영외·주말,6681,0,0,,,unavailable,6.492402017170945,9.097318476562004
10,240,전체,8106,0,0,,,unavailable,8.067967681814391,14.896569254967215
10,240,운영중,2127,0,0,,,unavailable,7.9363135869654915,15.615983822884592
10,240,운영외,5979,0,0,,,unavailable,8.11480298198894,14.640641041894751
10,240,평일,0,0,0,,,unavailable,,
10,240,주말,8106,0,0,,,unavailable,8.067967681814391,14.896569254967215
10,240,운영중·평일,0,0,0,,,unavailable,,
10,240,운영중·주말,2127,0,0,,,unavailable,7.9363135869654915,15.615983822884592
10,240,운영외·평일,0,0,0,,,unavailable,,
10,240,운영외·주말,5979,0,0,,,unavailable,8.11480298198894,14.640641041894751
10,360,전체,7075,0,0,,,unavailable,9.354023651737322,19.673545767747065
10,360,운영중,1979,0,0,,,unavailable,9.234632309489466,20.731607178167437
10,360,운영외,5096,0,0,,,unavailable,9.400388539160497,19.262654179987663
10,360,평일,0,0,0,,,unavailable,,
10,360,주말,7075,0,0,,,unavailable,9.354023651737322,19.673545767747065
10,360,운영중·평일,0,0,0,,,unavailable,,
10,360,운영중·주말,1979,0,0,,,unavailable,9.234632309489466,20.731607178167437
10,360,운영외·평일,0,0,0,,,unavailable,,
10,360,운영외·주말,5096,0,0,,,unavailable,9.400388539160497,19.262654179987663
11,15,전체,11568,11568,9501,0.8213174273858921,5.281863771004403,pass,1.7183878851809473,1.7990274254453662
11,15,운영중,2726,2726,2270,0.8327219369038885,6.777423619942236,fail,2.26539812165739,2.4000276402554794
11,15,운영외,8842,8842,7231,0.8178014023976475,4.8207807413499655,pass,1.5497439240143807,1.6137382843491919
11,15,평일,0,0,0,,,unavailable,,
11,15,주말,11568,11568,9501,0.8213174273858921,5.281863771004403,pass,1.7183878851809473,1.7990274254453662
11,15,운영중·평일,0,0,0,,,unavailable,,
11,15,운영중·주말,2726,2726,2270,0.8327219369038885,6.777423619942236,fail,2.26539812165739,2.4000276402554794
11,15,운영외·평일,0,0,0,,,unavailable,,
11,15,운영외·주말,8842,8842,7231,0.8178014023976475,4.8207807413499655,pass,1.5497439240143807,1.6137382843491919
11,30,전체,11382,11382,9336,0.8202424881391671,7.769245941053909,pass,2.7077823434072372,2.9997850086813758
11,30,운영중,2688,2688,2222,0.8266369047619048,9.581162230826497,pass,3.4332320227451074,3.9065868834581257
11,30,운영외,8694,8694,7114,0.8182654704393835,7.209039938418906,pass,2.483488722742388,2.7194211440161005
11,30,평일,0,0,0,,,unavailable,,
11,30,주말,11382,11382,9336,0.8202424881391671,7.769245941053909,pass,2.7077823434072372,2.9997850086813758
11,30,운영중·평일,0,0,0,,,unavailable,,
11,30,운영중·주말,2688,2688,2222,0.8266369047619048,9.581162230826497,pass,3.4332320227451074,3.9065868834581257
11,30,운영외·평일,0,0,0,,,unavailable,,
11,30,운영외·주말,8694,8694,7114,0.8182654704393835,7.209039938418906,pass,2.483488722742388,2.7194211440161005
11,60,전체,11011,11011,8856,0.8042866224684406,11.728014294227801,pass,4.234120834990902,5.100944895892087
11,60,운영중,2590,2590,2045,0.7895752895752896,14.731614146953069,pass,5.374013519640069,6.697311094750529
11,60,운영외,8421,8421,6811,0.8088113050706567,10.804213840771151,pass,3.883530399978274,4.609959448196639
11,60,평일,0,0,0,,,unavailable,,
11,60,주말,11011,11011,8856,0.8042866224684406,11.728014294227801,pass,4.234120834990902,5.100944895892087
11,60,운영중·평일,0,0,0,,,unavailable,,
11,60,운영중·주말,2590,2590,2045,0.7895752895752896,14.731614146953069,pass,5.374013519640069,6.697311094750529
11,60,운영외·평일,0,0,0,,,unavailable,,
11,60,운영외·주말,8421,8421,6811,0.8088113050706567,10.804213840771151,pass,3.883530399978274,4.609959448196639
11,120,전체,10396,10396,8349,0.8030973451327433,17.5591371267834,pass,5.926901530640277,8.46558641718878
11,120,운영중,2459,2459,1943,0.7901586010573404,19.767438678703915,pass,7.256230575822756,10.092713216265743
11,120,운영외,7937,7937,6406,0.8071059594305153,16.87497264194372,pass,5.515055729694867,7.961478467216465
11,120,평일,0,0,0,,,unavailable,,
11,120,주말,10396,10396,8349,0.8030973451327433,17.5591371267834,pass,5.926901530640277,8.46558641718878
11,120,운영중·평일,0,0,0,,,unavailable,,
11,120,운영중·주말,2459,2459,1943,0.7901586010573404,19.767438678703915,pass,7.256230575822756,10.092713216265743
11,120,운영외·평일,0,0,0,,,unavailable,,
11,120,운영외·주말,7937,7937,6406,0.8071059594305153,16.87497264194372,pass,5.515055729694867,7.961478467216465
11,240,전체,9348,9348,7397,0.7912922550278134,23.47271073629671,pass,7.694090007762029,13.682037027294264
11,240,운영중,2301,2301,1868,0.8118209474141678,24.840378619549366,pass,8.663533085931721,13.922998032443221
11,240,운영외,7047,7047,5529,0.7845891868880375,23.026137187358955,pass,7.377545588453321,13.603357976230301
11,240,평일,0,0,0,,,unavailable,,
11,240,주말,9348,9348,7397,0.7912922550278134,23.47271073629671,pass,7.694090007762029,13.682037027294264
11,240,운영중·평일,0,0,0,,,unavailable,,
11,240,운영중·주말,2301,2301,1868,0.8118209474141678,24.840378619549366,pass,8.663533085931721,13.922998032443221
11,240,운영외·평일,0,0,0,,,unavailable,,
11,240,운영외·주말,7047,7047,5529,0.7845891868880375,23.026137187358955,pass,7.377545588453321,13.603357976230301
11,360,전체,8286,8286,6440,0.7772145788076273,27.470201716709017,pass,8.422739526697518,17.562761469235358
11,360,운영중,2163,2163,1768,0.8173832639852058,29.843742524319993,pass,9.38716911005472,17.521805401938934
11,360,운영외,6123,6123,4672,0.763024661113833,26.631728947337376,fail,8.082046861533117,17.57722953612449
11,360,평일,0,0,0,,,unavailable,,
11,360,주말,8286,8286,6440,0.7772145788076273,27.470201716709017,pass,8.422739526697518,17.562761469235358
11,360,운영중·평일,0,0,0,,,unavailable,,
11,360,운영중·주말,2163,2163,1768,0.8173832639852058,29.843742524319993,pass,9.38716911005472,17.521805401938934
11,360,운영외·평일,0,0,0,,,unavailable,,
11,360,운영외·주말,6123,6123,4672,0.763024661113833,26.631728947337376,fail,8.082046861533117,17.57722953612449
12,15,전체,11977,0,0,,,unavailable,2.5837561226914927,2.717851699626704
12,15,운영중,6634,0,0,,,unavailable,3.5452027888046467,3.651401231707765
12,15,운영외,5343,0,0,,,unavailable,1.3900003332483581,1.5587336768257005
12,15,평일,11977,0,0,,,unavailable,2.5837561226914927,2.717851699626704
12,15,주말,0,0,0,,,unavailable,,
12,15,운영중·평일,6634,0,0,,,unavailable,3.5452027888046467,3.651401231707765
12,15,운영중·주말,0,0,0,,,unavailable,,
12,15,운영외·평일,5343,0,0,,,unavailable,1.3900003332483581,1.5587336768257005
12,15,운영외·주말,0,0,0,,,unavailable,,
12,30,전체,11857,0,0,,,unavailable,3.719310489453978,4.28842475987758
12,30,운영중,6603,0,0,,,unavailable,4.878728150240094,5.427109205778777
12,30,운영외,5254,0,0,,,unavailable,2.2622045103579147,2.857375388677427
12,30,평일,11857,0,0,,,unavailable,3.719310489453978,4.28842475987758
12,30,주말,0,0,0,,,unavailable,,
12,30,운영중·평일,6603,0,0,,,unavailable,4.878728150240094,5.427109205778777
12,30,운영중·주말,0,0,0,,,unavailable,,
12,30,운영외·평일,5254,0,0,,,unavailable,2.2622045103579147,2.857375388677427
12,30,운영외·주말,0,0,0,,,unavailable,,
12,60,전체,11822,0,0,,,unavailable,4.808489969356719,6.714805169207689
12,60,운영중,6637,0,0,,,unavailable,5.807186467143133,7.875358565358634
