horizon,row_set,parking_id,n,ml_mae,evaluable,passes
180,all,17,405,3.1296752421870315,True,True
180,all,18,405,4.787871344471657,True,True
180,all,20,405,3.395372576525384,True,True
180,all,21,405,2.9483788053215556,True,True
180,all,22,118,8.119958149211609,True,True
180,all,23,63,5.322818677246388,True,True
180,all,24,405,5.93880864493402,True,True
180,all,25,405,8.02251734409721,True,True
180,all,26,356,11.804386041278471,True,False
180,all,27,405,3.625262950727305,True,True
180,all,28,405,5.637280028486929,True,True
180,all,29,405,8.587140164047899,True,True
180,all,30,405,13.140635317190426,True,False
180,all,31,405,4.447258305357468,True,True
180,all,33,405,7.350556140153947,True,True
180,all,34,405,3.4928341560675493,True,True
180,all,36,405,4.091480893134275,True,True
180,all,37,405,2.8486194884452405,True,True
180,all,38,405,4.234632029677482,True,True
180,all,39,405,3.411520082425978,True,True
180,all,40,405,8.041567649457948,True,True
180,all,42,405,8.499260753557476,True,True
180,all,48,170,9.552347754672452,True,True
180,all,52,78,7.182292928952147,True,True
180,all,53,177,6.882145767644785,True,True
180,all,56,130,9.790061095906033,True,True
180,all,81,405,7.7742046568204515,True,True
180,all,82,405,3.064236841973997,True,True
180,all,106,405,9.806066462263287,True,True
180,all,108,405,4.070023361768889,True,True
180,all,112,405,7.267143189591158,True,True
180,all,121,405,5.6467553387283616,True,True
180,all,161,114,17.243561993347704,True,False
180,all,162,112,23.525243637763563,True,False
180,all,163,117,6.865362393962743,True,True
180,all,164,118,7.8154173559845,True,True
180,all,165,118,25.944485111388033,True,False
180,all,166,118,9.08690853639974,True,True
180,all,167,118,12.172676326734333,True,False
180,all,168,112,11.957558073404401,True,False
180,all,169,116,16.668395203339575,True,False
180,all,170,118,11.531555340881466,True,False
180,all,171,118,16.616762958868566,True,False
180,all,172,94,6.623212945796459,True,True
180,all,181,405,4.244688349599585,True,True
180,all,182,405,8.081886892321892,True,True
180,all,183,405,15.008988734248438,True,False
180,all,201,405,21.554619932026075,True,False
180,all,241,151,11.840509977466086,True,False
180,all,261,149,10.221844592027107,True,False
180,all,262,151,12.324368043690283,True,False
180,all,401,405,9.240772350666015,True,True
180,all,421,405,6.708500542846,True,True
180,all,441,405,10.408558618736667,True,False
180,all,461,405,8.962956221394009,True,True
180,all,521,405,2.594685012239529,True,True
180,all,522,405,2.439651519169091,True,True
240,core,7,231,0.6257359743675689,True,True
240,core,8,753,4.066445106831395,True,True
240,core,9,753,4.1554123124798785,True,True
240,core,10,753,4.9777731746075045,True,True
240,core,11,753,8.559543394041775,True,True
240,core,12,753,3.197370776837616,True,True
240,core,13,753,6.358973933828056,True,True
240,core,14,60,1.325526027347514,True,True
240,core,16,753,3.872100330587315,True,True
240,core,17,753,2.3404968911376414,True,True
240,core,18,753,6.102148858217401,True,True
240,core,20,753,4.276407353736131,True,True
240,core,21,753,4.4381918069597175,True,True
