lae_id,pkplc_id,n_obs,first_ts,last_ts,median_gap_min,p90_gap_min
31040,00007,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00008,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00010,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00011,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00012,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00014,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00015,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00016,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00017,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00018,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00019,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00020,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00021,71,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00022,119,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00023,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00024,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00026,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00027,16,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,156.99516599999993
31040,00029,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00030,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00031,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00032,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00033,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00034,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00035,80,2026-09-04 09:45:19.483400+09:00,2026-09-04 20:30:00+09:00,5.0,5.0
31040,00037,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00038,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00039,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00040,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00041,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00042,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00043,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00044,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00045,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31040,00046,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
