prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30083-29391-00052-00-1,,2,37.4016787527,126.9204574264,부설,0.9,False,False,False
30083-29391-00053-00-1,,7,37.3994321835,126.9186573056,부설,0.9,False,False,False
30083-29391-00054-00-1,홀인원모텔,6,37.399341957,126.9184767021,부설,0.9,True,False,False
30083-29391-00055-00-1,,3,37.4003986341,126.9194694272,부설,0.9,False,False,False
30083-29391-00056-00-1,스카이파크빌,3,37.3983348103,126.9161784028,부설,0.9,True,False,False
30083-29391-00057-00-1,,4,37.3975631542,126.9156416893,부설,0.9,False,False,False
30083-29391-00058-00-1,,5,37.4018159564,126.9208277307,부설,0.9,False,False,False
30083-29391-00059-00-1,,4,37.3775811168,126.9373012902,부설,0.9,False,False,False
30083-29391-00060-00-1,다가구주택,3,37.3777794568,126.9375179043,부설,0.9,True,False,False
30083-29391-00061-00-1,다가구주택,2,37.3778552548,126.9377301046,부설,0.9,True,False,False
30083-29391-00062-00-1,다가구주택,2,37.377765264,126.937942442,부설,0.9,True,False,False
30083-29391-00063-00-1,안양8동 다목적 복지회관,4,37.377844644,126.9381139936,애매,0.3,False,False,False
30083-29391-00076-00-1,,2,37.4170286327,126.9206174205,부설,0.9,False,False,False
30083-29391-00077-00-1,,2,37.4169133328,126.920662728,부설,0.9,False,False,False
30083-29391-00078-00-1,,4,37.4172987497,126.9203369819,부설,0.9,False,False,False
30083-29391-00079-00-1,,2,37.4173927289,126.9207435573,부설,0.9,False,False,False
30083-29391-00098-00-1,,2,37.4172232587,126.9206262523,부설,0.9,False,False,False
30083-29391-00099-00-1,,2,37.4171907158,126.9204681357,부설,0.9,False,False,False
30083-29391-00100-00-1,,2,37.4174136612,126.9197178104,부설,0.9,False,False,False
30083-29391-00101-00-1,,2,37.4174282307,126.9199437255,부설,0.9,False,False,False
30083-29391-00102-00-1,,2,37.4174824507,126.9201786358,부설,0.9,False,False,False
30083-29391-00103-00-1,,2,37.417533063,126.9204090316,부설,0.9,False,False,False
30083-29391-00104-00-1,,2,37.4175909013,126.9206665319,부설,0.9,False,False,False
30083-29391-00105-00-1,,3,37.4176920935,126.921082139,부설,0.9,False,False,False
30083-29391-00106-00-1,,1,37.4178820645,126.9195320462,부설,0.9,False,False,False
30083-29391-00107-00-1,,8,37.4182356741,126.9201371684,부설,0.9,False,False,False
30083-29391-00108-00-1,안양동 1319-15 제1종근린생활시설 (김경숙),2,37.4183331242,126.9203449236,부설,0.9,True,False,False
30083-29391-00109-00-1,,5,37.4183664305,126.921646265,부설,0.9,False,False,False
30083-29391-00110-00-1,,6,37.4184639556,126.921971508,부설,0.9,False,False,False
30083-29391-00116-00-1,,4,37.4184755903,126.9232276878,부설,0.9,False,False,False
30083-29391-00117-00-1,,5,37.4187422093,126.9231008923,부설,0.9,False,False,False
30083-29391-00118-00-1,,2,37.4188468536,126.9232950893,부설,0.9,False,False,False
