horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
60,unknown,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
120,all,all,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,all,weekend,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,accessible,all,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,accessible,weekend,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
120,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
120,all,all,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,all,weekend,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,accessible,all,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,accessible,weekend,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
120,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
120,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
120,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
120,all,all,7805,66,1,9.532558982731528,5.515629560555621,15.720748106994098,9.4396842539254,4.016929422175907,42.139046078316184,better,3,2026-09-14
